Category,Skills
Data Science,"matplotlib, python, javascript, excel, machine learning, docker, tensorflow, social media, angular, django, deep learning, r, sql, java, git, accounting, forecasting, flask, numpy, pandas, seaborn"
HR,"excel, accounting, java, r"
Arts,social media
Web Designing,"angular, r, sql, java, javascript"
Mechanical Engineer,"excel, r"
Sales,"excel, sql"
Health and fitness,"excel, market research"
Civil Engineer,excel
Java Developer,"excel, angular, network security, social media, switching, sql, routing, java, javascript"
Business Analyst,"excel, accounting, sql, java, javascript"
SAP Developer,"excel, sql, java, python"
Automation Testing,"excel, vpn, machine learning, sql, java, python, javascript"
Electrical Engineering,"budgeting, r"
Operations Manager,"accounting, sql, r"
Python Developer,"git, tensorflow, excel, django, angular, flask, sql, numpy, pandas, java, python"
DevOps Engineer,"git, accounting, javascript, angular, budgeting, forecasting, vpn, machine learning, sql, java, python, cloud computing"
Network Security Engineer,"accounting, network security, vpn, dns, wan, r, lan, routing, firewall, python, switching"
PMO,"excel, budgeting, forecasting"
Database,"accounting, machine learning, r, derivatives, sql, java, python"
Hadoop,"git, forecasting, machine learning, r, sql, java, python, javascript"
ETL Developer,sql
DotNet Developer,"git, accounting, excel, angular, sql, javascript"
Blockchain,"django, angular, machine learning, social media, docker, sql, cloud computing, routing, react, java, python, javascript"
Testing,"excel, sql, java"
